"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.02","83.60","RMA","20231031"
"GBP","99.40","102.10","100.72","101.38","RMA","20231031"
"EUR","86.70","89.10","87.88","88.46","RMA","20231031"
"JPY","54.75","56.30","55.47","55.88","RMA","20231031"
"CHF","90.70","93.25","91.92","92.57","RMA","20231031"
"HKD","10.45","10.75","10.61","10.69","RMA","20231031"
"CAD","59.15","60.80","59.96","60.39","RMA","20231031"
"AUD","52.20","53.60","52.90","53.23","RMA","20231031"
"SGD","59.95","61.65","60.75","61.21","RMA","20231031"
"DKK","11.60","11.95","11.77","11.86","RMA","20231031"
"SEK","7.35","7.55","7.44","7.50","RMA","20231031"
"NOK","7.35","7.55","7.45","7.50","RMA","20231031"
"USD","82","84.55","83.02","83.6","BOB","20231031"
"USD.5.20","79.54","","","","BOB","20231031"
"USD.12","77.9","","","","BOB","20231031"
"GBP","99.4","102.1","100.72","101.38","BOB","20231031"
"EUR","86.7","89.1","87.88","88.46","BOB","20231031"
"JPY","54.75","56.3","55.47","55.88","BOB","20231031"
"CHF","90.7","93.25","91.92","92.57","BOB","20231031"
"HKD","10.45","10.75","10.61","10.69","BOB","20231031"
"CAD","59.15","60.8","59.96","60.39","BOB","20231031"
"AUD","52.2","53.6","52.9","53.23","BOB","20231031"
"SGD","59.95","61.65","60.75","61.21","BOB","20231031"
"DKK","11.6","11.95","11.77","11.86","BOB","20231031"
"SEK","7.35","7.55","7.44","7.5","BOB","20231031"
"NOK","7.35","7.55","7.45","7.5","BOB","20231031"
"USD","82.00","84.55","83.01","83.63","TBL","20231031"
"USD.5.20","79.54","","","","TBL","20231031"
"USD.12","77.90","","","","TBL","20231031"
"GBP","99.40","102.20","100.77","101.47","TBL","20231031"
"EUR","86.55","88.95","87.71","88.34","TBL","20231031"
"JPY","54.60","56.15","55.33","55.74","TBL","20231031"
"CHF","91.00","93.65","92.23","92.96","TBL","20231031"
"HKD","10.45","10.75","10.61","10.69","TBL","20231031"
"CAD","59.35","61.05","60.15","60.62","TBL","20231031"
"AUD","52.05","53.55","52.77","53.15","TBL","20231031"
"SGD","59.80","61.50","60.61","60.08","TBL","20231031"
"DKK","11.60","11.90","11.75","11.84","TBL","20231031"
"SEK","7.35","7.55","7.44","7.50","TBL","20231031"
"NOK","7.35","7.55","7.43","7.48","TBL","20231031"
