"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.04","83.61","RMA","20231016"
"GBP","100.80","103.55","102.15","102.83","RMA","20231016"
"EUR","87.00","89.40","88.19","88.76","RMA","20231016"
"JPY","54.95","56.45","55.67","56.07","RMA","20231016"
"CHF","91.05","93.60","92.26","92.91","RMA","20231016"
"HKD","10.50","10.75","10.62","10.69","RMA","20231016"
"CAD","60.30","62.00","61.10","61.54","RMA","20231016"
"AUD","52.55","54.00","53.24","53.60","RMA","20231016"
"SGD","60.10","61.80","60.93","61.36","RMA","20231016"
"DKK","11.65","12.00","11.82","11.91","RMA","20231016"
"SEK","7.55","7.75","7.63","7.68","RMA","20231016"
"NOK","7.55","7.75","7.65","7.71","RMA","20231016"
"USD","82","84.55","83.03","83.61","BOB","20231016"
"USD.5.20","79.54","","","","BOB","20231016"
"USD.12","77.9","","","","BOB","20231016"
"GBP","99.9","102.65","101.26","101.93","BOB","20231016"
"EUR","86.25","88.65","87.42","88.02","BOB","20231016"
"JPY","54.75","56.3","55.49","55.89","BOB","20231016"
"CHF","90.25","92.8","91.46","92.14","BOB","20231016"
"HKD","10.45","10.75","10.61","10.69","BOB","20231016"
"CAD","59.9","61.6","60.71","61.16","BOB","20231016"
"AUD","51.75","53.15","52.45","52.77","BOB","20231016"
"SGD","59.85","61.55","60.64","61.09","BOB","20231016"
"DKK","11.55","11.9","11.72","11.8","BOB","20231016"
"SEK","7.45","7.7","7.57","7.62","BOB","20231016"
"NOK","7.5","7.7","7.59","7.65","BOB","20231016"
"USD","82.00","84.55","83.03","83.61","TBL","20231016"
"USD.5.20","79.54","","","","TBL","20231016"
"USD.12","77.90","","","","TBL","20231016"
"GBP","99.90","102.65","101.26","101.93","TBL","20231016"
"EUR","86.25","88.65","87.42","88.02","TBL","20231016"
"JPY","54.75","56.30","55.49","55.89","TBL","20231016"
"CHF","90.25","92.80","91.46","92.14","TBL","20231016"
"HKD","10.45","10.75","10.61","10.69","TBL","20231016"
"CAD","59.90","61.60","60.71","61.16","TBL","20231016"
"AUD","51.75","53.15","52.45","52.77","TBL","20231016"
"SGD","59.85","61.55","60.64","61.09","TBL","20231016"
"DKK","11.55","11.90","11.72","11.80","TBL","20231016"
"SEK","7.45","7.70","7.57","7.62","TBL","20231016"
"NOK","7.50","7.70","7.59","7.65","TBL","20231016"
