"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.60","83.03","83.65","RMA","20231006"
"GBP","99.35","102.15","100.68","101.40","RMA","20231006"
"EUR","86.10","88.50","87.26","87.88","RMA","20231006"
"JPY","55.00","56.55","55.73","56.16","RMA","20231006"
"CHF","89.30","91.90","90.52","91.23","RMA","20231006"
"HKD","10.45","10.75","10.60","10.68","RMA","20231006"
"CAD","59.45","61.15","60.25","60.73","RMA","20231006"
"AUD","51.90","53.35","52.60","52.98","RMA","20231006"
"SGD","59.70","61.40","60.51","60.98","RMA","20231006"
"DKK","11.55","11.85","11.70","11.79","RMA","20231006"
"SEK","7.40","7.65","7.52","7.58","RMA","20231006"
"NOK","7.45","7.65","7.54","7.59","RMA","20231006"
"USD","82","84.6","83.03","83.65","BOB","20231006"
"USD.5.20","79.54","","","","BOB","20231006"
"USD.12","77.9","","","","BOB","20231006"
"GBP","99.35","102.15","100.68","101.4","BOB","20231006"
"EUR","86.1","88.5","87.26","87.88","BOB","20231006"
"JPY","55","56.55","55.73","56.16","BOB","20231006"
"CHF","89.3","91.9","90.52","91.23","BOB","20231006"
"HKD","10.45","10.75","10.6","10.68","BOB","20231006"
"CAD","59.45","61.15","60.25","60.73","BOB","20231006"
"AUD","51.9","53.35","52.6","52.98","BOB","20231006"
"SGD","59.7","61.4","60.51","60.98","BOB","20231006"
"DKK","11.55","11.85","11.7","11.79","BOB","20231006"
"SEK","7.4","7.65","7.52","7.58","BOB","20231006"
"NOK","7.45","7.65","7.54","7.59","BOB","20231006"
"USD","82.00","84.55","83.02","83.60","TBL","20231006"
"USD.5.20","79.54","","","","TBL","20231006"
"USD.12","77.90","","","","TBL","20231006"
"GBP","99.35","102.05","100.68","101.34","TBL","20231006"
"EUR","86.00","88.40","87.16","87.74","TBL","20231006"
"JPY","54.90","56.45","55.65","56.05","TBL","20231006"
"CHF","89.15","91.70","90.38","91.05","TBL","20231006"
"HKD","10.45","10.75","10.60","10.68","TBL","20231006"
"CAD","59.80","61.50","60.60","61.05","TBL","20231006"
"AUD","51.80","53.25","52.50","52.86","TBL","20231006"
"SGD","59.70","61.40","60.50","60.95","TBL","20231006"
"DKK","11.55","11.85","11.68","11.77","TBL","20231006"
"SEK","7.40","7.60","7.51","7.56","TBL","20231006"
"NOK","7.50","7.70","7.59","7.65","TBL","20231006"
