"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.05","83.62","RMA","20231102"
"GBP","99.85","102.60","101.22","101.87","RMA","20231102"
"EUR","87.30","89.70","88.49","89.06","RMA","20231102"
"JPY","54.35","55.90","55.10","55.49","RMA","20231102"
"CHF","90.85","93.45","92.09","92.78","RMA","20231102"
"HKD","10.45","10.75","10.61","10.69","RMA","20231102"
"CAD","59.30","60.95","60.09","60.51","RMA","20231102"
"AUD","52.20","53.60","52.88","53.22","RMA","20231102"
"SGD","60.00","61.70","60.82","61.25","RMA","20231102"
"DKK","11.70","12.00","11.85","11.94","RMA","20231102"
"SEK","7.40","7.60","7.48","7.53","RMA","20231102"
"NOK","7.35","7.55","7.45","7.51","RMA","20231102"
"USD","82","84.55","83.05","83.62","BOB","20231102"
"USD.5.20","79.54","","","","BOB","20231102"
"USD.12","77.9","","","","BOB","20231102"
"GBP","99.85","102.6","101.22","101.87","BOB","20231102"
"EUR","87.3","89.7","88.49","89.06","BOB","20231102"
"JPY","54.35","55.9","55.1","55.49","BOB","20231102"
"CHF","90.85","93.45","92.09","92.78","BOB","20231102"
"HKD","10.45","10.75","10.61","10.69","BOB","20231102"
"CAD","59.3","60.95","60.09","60.51","BOB","20231102"
"AUD","52.2","53.6","52.88","53.22","BOB","20231102"
"SGD","60","61.7","60.82","61.25","BOB","20231102"
"DKK","11.7","12","11.85","11.94","BOB","20231102"
"SEK","7.4","7.6","7.48","7.53","BOB","20231102"
"NOK","7.35","7.55","7.45","7.51","BOB","20231102"
"USD","82.00","84.55","83.05","83.62","TBL","20231102"
"USD.5.20","79.54","","","","TBL","20231102"
"USD.12","77.90","","","","TBL","20231102"
"GBP","99.85","102.60","101.22","101.87","TBL","20231102"
"EUR","87.30","89.70","88.49","89.06","TBL","20231102"
"JPY","54.35","55.90","55.10","55.49","TBL","20231102"
"CHF","90.85","93.45","92.09","92.78","TBL","20231102"
"HKD","10.45","10.75","10.61","10.69","TBL","20231102"
"CAD","59.30","60.95","60.09","60.51","TBL","20231102"
"AUD","52.20","53.60","52.88","53.22","TBL","20231102"
"SGD","60.00","61.70","60.82","61.25","TBL","20231102"
"DKK","11.70","12.00","11.85","11.94","TBL","20231102"
"SEK","7.40","7.60","7.48","7.53","TBL","20231102"
"NOK","7.35","7.55","7.45","7.51","TBL","20231102"
