"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.50","82.96","83.58","RMA","20231231"
"GBP","104.75","107.70","106.15","106.91","RMA","20231231"
"EUR","91.10","93.65","92.33","92.99","RMA","20231231"
"JPY","58.15","59.80","58.94","59.39","RMA","20231231"
"CHF","97.95","100.80","99.27","100.07","RMA","20231231"
"HKD","10.45","10.75","10.62","10.69","RMA","20231231"
"CAD","61.95","63.75","62.78","63.27","RMA","20231231"
"AUD","55.95","57.50","56.69","57.07","RMA","20231231"
"SGD","62.15","63.95","62.97","63.48","RMA","20231231"
"DKK","12.20","12.55","12.38","12.48","RMA","20231231"
"SEK","8.25","8.50","8.35","8.42","RMA","20231231"
"NOK","8.10","8.35","8.21","8.28","RMA","20231231"
"USD","82","84.5","83.01","83.57","BOB","20231231"
"USD.5.20","79.54","","","","BOB","20231231"
"USD.12","77.9","","","","BOB","20231231"
"GBP","104.1","106.95","105.51","106.16","BOB","20231231"
"EUR","90.5","93","91.75","92.34","BOB","20231231"
"JPY","57.75","59.35","58.51","58.92","BOB","20231231"
"CHF","97.45","100.25","98.77","99.52","BOB","20231231"
"HKD","10.5","10.8","10.63","10.7","BOB","20231231"
"CAD","61.8","63.5","62.63","63.06","BOB","20231231"
"AUD","55.75","57.3","56.49","56.87","BOB","20231231"
"SGD","62","63.75","62.84","63.29","BOB","20231231"
"DKK","12.15","12.5","12.31","12.39","BOB","20231231"
"SEK","8.15","8.4","8.27","8.33","BOB","20231231"
"NOK","8.05","8.25","8.15","8.21","BOB","20231231"
"USD","82.00","84.50","83.01","83.57","TBL","20231231"
"USD.5.20","79.54","","","","TBL","20231231"
"USD.12","77.90","","","","TBL","20231231"
"GBP","104.10","106.95","105.51","106.16","TBL","20231231"
"EUR","90.50","93.00","91.75","92.34","TBL","20231231"
"JPY","57.75","59.35","58.51","58.92","TBL","20231231"
"CHF","97.45","100.25","98.77","99.52","TBL","20231231"
"HKD","10.50","10.80","10.63","10.70","TBL","20231231"
"CAD","61.80","63.50","62.63","63.06","TBL","20231231"
"AUD","55.75","57.30","56.49","56.87","TBL","20231231"
"SGD","62.00","63.75","62.84","63.29","TBL","20231231"
"DKK","12.15","12.50","12.31","12.39","TBL","20231231"
"SEK","8.15","8.40","8.27","8.33","TBL","20231231"
"NOK","8.05","8.25","8.15","8.21","TBL","20231231"
