"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.03","83.61","RMA","20231030"
"GBP","99.05","101.80","100.39","101.05","RMA","20231030"
"EUR","86.40","88.80","87.58","88.15","RMA","20231030"
"JPY","54.50","56.00","55.23","55.62","RMA","20231030"
"CHF","91.20","93.75","92.41","93.09","RMA","20231030"
"HKD","10.45","10.75","10.62","10.69","RMA","20231030"
"CAD","59.40","61.05","60.18","60.61","RMA","20231030"
"AUD","51.70","53.15","52.42","52.76","RMA","20231030"
"SGD","59.75","61.45","60.54","60.99","RMA","20231030"
"DKK","11.55","11.90","11.73","11.81","RMA","20231030"
"SEK","7.35","7.55","7.43","7.48","RMA","20231030"
"NOK","7.30","7.50","7.41","7.46","RMA","20231030"
"USD","82","84.55","83.01","83.63","BOB","20231030"
"USD.5.20","79.54","","","","BOB","20231030"
"USD.12","77.9","","","","BOB","20231030"
"GBP","99.4","102.2","100.77","101.47","BOB","20231030"
"EUR","86.55","88.95","87.71","88.34","BOB","20231030"
"JPY","54.6","56.15","55.33","55.74","BOB","20231030"
"CHF","91","93.65","92.23","92.96","BOB","20231030"
"HKD","10.45","10.75","10.61","10.69","BOB","20231030"
"CAD","59.35","61.05","60.15","60.62","BOB","20231030"
"AUD","52.05","53.55","52.77","53.15","BOB","20231030"
"SGD","59.8","61.5","60.61","61.08","BOB","20231030"
"DKK","11.6","11.9","11.75","11.84","BOB","20231030"
"SEK","7.35","7.55","7.44","7.5","BOB","20231030"
"NOK","7.35","7.55","7.43","7.48","BOB","20231030"
"USD","82.00","84.55","83.01","83.63","TBL","20231030"
"USD.5.20","79.54","","","","TBL","20231030"
"USD.12","77.90","","","","TBL","20231030"
"GBP","99.40","102.20","100.77","101.47","TBL","20231030"
"EUR","86.55","88.95","87.71","88.34","TBL","20231030"
"JPY","54.60","56.15","55.33","55.74","TBL","20231030"
"CHF","91.00","93.65","92.23","92.96","TBL","20231030"
"HKD","10.45","10.75","10.61","10.69","TBL","20231030"
"CAD","59.35","61.05","60.15","60.62","TBL","20231030"
"AUD","52.05","53.55","52.77","53.15","TBL","20231030"
"SGD","59.80","61.50","60.61","60.08","TBL","20231030"
"DKK","11.60","11.90","11.75","11.84","TBL","20231030"
"SEK","7.35","7.55","7.44","7.50","TBL","20231030"
"NOK","7.35","7.55","7.43","7.48","TBL","20231030"
