"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.95","84.55","82.99","83.61","RMA","20231108"
"GBP","101.55","104.40","102.94","103.65","RMA","20231108"
"EUR","88.00","90.50","89.20","89.86","RMA","20231108"
"JPY","54.70","56.25","55.44","55.86","RMA","20231108"
"CHF","91.35","94.00","92.58","93.33","RMA","20231108"
"HKD","10.45","10.75","10.61","10.69","RMA","20231108"
"CAD","60.00","61.75","60.83","61.29","RMA","20231108"
"AUD","53.30","54.80","54.02","54.41","RMA","20231108"
"SGD","60.70","62.40","61.50","61.96","RMA","20231108"
"DKK","11.80","12.15","11.96","12.05","RMA","20231108"
"SEK","7.55","7.75","7.63","7.69","RMA","20231108"
"NOK","7.45","7.65","7.53","7.59","RMA","20231108"
"USD","82.05","84.6","83.07","83.64","BOB","20231108"
"USD.5.20","79.59","","","","BOB","20231108"
"USD.12","77.95","","","","BOB","20231108"
"GBP","100.85","103.6","102.2","102.88","BOB","20231108"
"EUR","87.6","90","88.76","89.35","BOB","20231108"
"JPY","54.45","56","55.21","55.61","BOB","20231108"
"CHF","91","93.6","92.24","92.92","BOB","20231108"
"HKD","10.5","10.75","10.62","10.7","BOB","20231108"
"CAD","59.6","61.25","60.39","60.83","BOB","20231108"
"AUD","52.65","54.1","53.34","53.71","BOB","20231108"
"SGD","60.45","62.2","61.29","61.74","BOB","20231108"
"DKK","11.75","12.05","11.9","11.98","BOB","20231108"
"SEK","7.5","7.7","7.58","7.63","BOB","20231108"
"NOK","7.35","7.55","7.44","7.49","BOB","20231108"
"USD","81.95","84.55","82.99","83.61","TBL","20231108"
"USD.5.20","79.49","","","","TBL","20231108"
"USD.12","77.85","","","","TBL","20231108"
"GBP","101.55","104.40","102.94","103.65","TBL","20231108"
"EUR","88.00","90.50","89.20","89.86","TBL","20231108"
"JPY","54.70","56.25","55.44","55.86","TBL","20231108"
"CHF","91.35","94.00","92.58","93.33","TBL","20231108"
"HKD","10.45","10.75","10.61","10.69","TBL","20231108"
"CAD","60.00","61.75","60.83","61.29","TBL","20231108"
"AUD","53.30","54.80","54.02","54.41","TBL","20231108"
"SGD","60.70","62.40","61.50","61.96","TBL","20231108"
"DKK","11.80","12.15","11.96","12.05","TBL","20231108"
"SEK","7.55","7.75","7.63","7.69","TBL","20231108"
"NOK","7.45","7.65","7.53","7.59","TBL","20231108"
