"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.04","83.62","RMA","20231021"
"GBP","99.20","101.95","100.55","101.21","RMA","20231021"
"EUR","86.40","88.80","87.58","88.16","RMA","20231021"
"JPY","54.65","56.20","55.41","55.81","RMA","20231021"
"CHF","91.20","93.75","92.41","93.09","RMA","20231021"
"HKD","10.45","10.75","10.61","10.69","RMA","20231021"
"CAD","59.65","61.35","60.48","60.90","RMA","20231021"
"AUD","51.65","53.10","52.37","52.73","RMA","20231021"
"SGD","59.60","61.30","60.43","60.87","RMA","20231021"
"DKK","11.60","11.90","11.73","11.82","RMA","20231021"
"SEK","7.40","7.65","7.52","7.57","RMA","20231021"
"NOK","7.40","7.60","7.48","7.54","RMA","20231021"
"USD","81.85","84.4","82.88","83.46","BOB","20231021"
"USD.5.20","79.39","","","","BOB","20231021"
"USD.12","77.76","","","","BOB","20231021"
"GBP","99.15","101.9","100.51","101.18","BOB","20231021"
"EUR","86.6","89","87.78","88.36","BOB","20231021"
"JPY","54.5","56.05","55.26","55.67","BOB","20231021"
"CHF","91.7","94.3","92.92","93.62","BOB","20231021"
"HKD","10.45","10.75","10.6","10.67","BOB","20231021"
"CAD","59.7","61.4","60.5","60.94","BOB","20231021"
"AUD","51.65","53.05","52.33","52.68","BOB","20231021"
"SGD","59.6","61.3","60.39","60.84","BOB","20231021"
"DKK","11.6","11.95","11.76","11.84","BOB","20231021"
"SEK","7.45","7.65","7.55","7.6","BOB","20231021"
"NOK","7.4","7.6","7.51","7.57","BOB","20231021"
"USD","82.00","84.55","83.04","83.62","TBL","20231021"
"USD.5.20","79.54","","","","TBL","20231021"
"USD.12","77.90","","","","TBL","20231021"
"GBP","99.20","101.95","101.55","102.21","TBL","20231021"
"EUR","86.40","88.80","87.58","88.16","TBL","20231021"
"JPY","54.65","56.20","55.41","55.81","TBL","20231021"
"CHF","91.20","93.75","92.41","93.09","TBL","20231021"
"HKD","10.45","10.75","10.61","10.69","TBL","20231021"
"CAD","59.65","61.35","60.48","60.90","TBL","20231021"
"AUD","51.65","53.10","52.37","52.73","TBL","20231021"
"SGD","59.60","61.30","60.43","60.87","TBL","20231021"
"DKK","11.60","11.90","11.73","11.82","TBL","20231021"
"SEK","7.40","7.65","7.52","7.57","TBL","20231021"
"NOK","7.40","7.60","7.48","7.54","TBL","20231021"
