"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","82.00","84.55","83.05","83.62","RMA","20231103"
"GBP","99.85","102.60","101.22","101.87","RMA","20231103"
"EUR","87.30","89.70","88.49","89.06","RMA","20231103"
"JPY","54.35","55.90","55.10","55.49","RMA","20231103"
"CHF","90.85","93.45","92.09","92.78","RMA","20231103"
"HKD","10.45","10.75","10.61","10.69","RMA","20231103"
"CAD","59.30","60.95","60.09","60.51","RMA","20231103"
"AUD","52.20","53.60","52.88","53.22","RMA","20231103"
"SGD","60.00","61.70","60.82","61.25","RMA","20231103"
"DKK","11.70","12.00","11.85","11.94","RMA","20231103"
"SEK","7.40","7.60","7.48","7.53","RMA","20231103"
"NOK","7.35","7.55","7.45","7.51","RMA","20231103"
"USD","82","84.55","83.03","83.61","BOB","20231103"
"USD.5.20","79.54","","","","BOB","20231103"
"USD.12","77.9","","","","BOB","20231103"
"GBP","99.8","102.6","101.15","101.85","BOB","20231103"
"EUR","87.05","89.45","88.22","88.8","BOB","20231103"
"JPY","54.5","56.05","55.23","55.63","BOB","20231103"
"CHF","90.7","93.25","91.92","92.57","BOB","20231103"
"HKD","10.45","10.75","10.61","10.68","BOB","20231103"
"CAD","59.3","60.95","60.11","60.53","BOB","20231103"
"AUD","52.75","54.2","53.49","53.82","BOB","20231103"
"SGD","60","61.7","60.83","61.28","BOB","20231103"
"DKK","11.65","12","11.82","11.9","BOB","20231103"
"SEK","7.35","7.55","7.46","7.52","BOB","20231103"
"NOK","7.35","7.55","7.44","7.5","BOB","20231103"
"USD","82.00","84.55","83.05","83.62","TBL","20231103"
"USD.5.20","79.54","","","","TBL","20231103"
"USD.12","77.90","","","","TBL","20231103"
"GBP","99.85","102.60","101.22","101.87","TBL","20231103"
"EUR","87.30","89.70","88.49","89.06","TBL","20231103"
"JPY","54.35","55.90","55.10","55.49","TBL","20231103"
"CHF","90.85","93.45","92.09","92.78","TBL","20231103"
"HKD","10.45","10.75","10.61","10.69","TBL","20231103"
"CAD","59.30","60.95","60.09","60.51","TBL","20231103"
"AUD","52.20","53.60","52.88","53.22","TBL","20231103"
"SGD","60.00","61.70","60.82","61.25","TBL","20231103"
"DKK","11.70","12.00","11.85","11.94","TBL","20231103"
"SEK","7.40","7.60","7.48","7.53","TBL","20231103"
"NOK","7.35","7.55","7.45","7.51","TBL","20231103"
